Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value
210736_x_at,0.6914587626194583,0.48396298250627,0.20749578011318826,1.0522495741901988e-13,4.25677822187032e-11
210781_x_at,0.4579772021790809,0.7147033598575045,-0.25672615767842366,6.225653657271732e-12,9.315112963961124e-10
210792_x_at,0.4085868467744739,0.6197218150380993,-0.21113496826362543,7.819806725210966e-11,7.1058752859225705e-09
211125_x_at,0.4876271464547217,0.7059060246159189,-0.21827887816119718,2.5497103257036577e-10,1.8343240188819378e-08
211297_s_at,0.5381709683141453,0.7718835037524429,-0.2337125354382975,6.3376025621725676e-12,9.379823542762343e-10
211370_s_at,0.4329715050603613,0.6604971992426398,-0.22752569418227853,2.0877154180890424e-11,2.4310533502792512e-09
211651_s_at,0.40905988980199426,0.6115814958480318,-0.20252160604603753,2.8994035465540453e-10,2.030896146927656e-08
212384_at,0.7403394389476473,0.49482940500704153,0.24551003394060578,1.311675974431453e-16,3.4111695234107115e-13
213456_at,0.4770550346463572,0.6978942518833374,-0.22083921723698025,2.0614921577607137e-08,6.5190660805898e-07
213693_s_at,0.6095341055732816,0.39994739755062086,0.20958670802266072,7.158631894606416e-13,1.6998015811310443e-10
213710_s_at,0.5876456861897135,0.8172774127309765,-0.22963172654126307,3.958987937453373e-15,4.289685876127287e-12
213787_s_at,0.40490104710280383,0.6181115716895771,-0.21321052458677325,5.1268357411619784e-11,5.0267842070391225e-09
213789_at,0.36615297730128654,0.5780848119935124,-0.21193183469222582,5.581358532177073e-09,2.1881890417644402e-07
213921_at,0.5154533785485996,0.830373701216358,-0.3149203226677584,5.4608052508228615e-17,1.6968315519049873e-13
214250_at,0.7684955714455441,0.5508812876315604,0.21761428381398373,2.0603458802632272e-10,1.5435071270070733e-08
214333_x_at,0.5411453449573791,0.7493532688603689,-0.2082079239029898,1.0003510057343573e-14,8.40494915018007e-12
214432_at,0.4999665732729563,0.723112347608473,-0.2231457743355167,6.9386877376123e-14,2.960488698548598e-11
214808_at,0.5582297302316099,0.34388049302665563,0.2143492372049543,1.6602756987355017e-10,1.299034910244154e-08
215020_at,0.26712232205304365,0.5409619026625458,-0.2738395806095022,3.4610891340932025e-13,9.99185368243192e-11
215021_s_at,0.5503536146165358,0.8077379055168359,-0.25738429090030013,8.333944393656051e-13,1.8964622995380907e-10
215066_at,0.6342424506248643,0.4338412861247867,0.2004011645000776,4.471261747392587e-10,2.846264364386858e-08
215161_at,0.49818763934015897,0.7645973339995652,-0.2664096946594062,5.931446055311351e-11,5.653299536103295e-09
215645_at,0.7426005321875186,0.5399066565817764,0.20269387560574226,8.336902122224754e-13,1.8964622995380907e-10
215714_s_at,0.44344574756726934,0.680463675306567,-0.2370179277392977,1.8831339577360428e-08,6.038966226297035e-07
216101_at,0.8381279611210889,0.6129960591521271,0.22513190196896182,2.412432647916501e-12,4.3055615751850936e-10
216602_s_at,0.27839088916145993,0.5106515319255148,-0.2322606427640549,2.6094463009763088e-11,2.956632589942306e-09
216804_s_at,0.5257878732116974,0.27264498555099703,0.25314288766070037,5.815902064135127e-13,1.4437448155845986e-10
216977_x_at,0.5077211175676206,0.7125207423530419,-0.20479962478542124,2.1628837784657748e-08,6.780802054727402e-07
