Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value,probe_id,gene_symbol,gene_title
230255_at,0.5888028342293424,0.7928666852243246,-0.2040638509949821,5.610121592011769e-06,7.061202362400063e-05,230255_at,GABRD,"gamma-aminobutyric acid (GABA) A receptor, delta"
230392_at,0.7412121343086081,0.4511651216235968,0.2900470126850113,1.6886803011563595e-16,3.597875063272172e-13,,,
230656_s_at,0.549644995014201,0.7917112570281735,-0.2420662620139724,3.143211187755865e-14,1.7653762854316788e-11,230656_s_at,CIRH1A,"cirrhosis, autosomal recessive 1A (cirhin)"
231042_s_at,0.4415598200598082,0.6663856349552059,-0.2248258148953976,5.054120046268736e-09,2.0236118628069976e-07,,,
231577_s_at,0.6272545234015613,0.4123820908095437,0.2148724325920175,1.591646151574625e-10,1.2634385359875725e-08,231577_s_at,GBP1,"guanylate binding protein 1, interferon-inducible"
232311_at,0.5171819393062375,0.2921892333469436,0.2249927059592938,3.243866125510899e-13,9.552759357408726e-11,232311_at,B2M,beta-2-microglobulin
232541_at,0.7656043210870292,0.5100841567192018,0.2555201643678274,1.1817885834917473e-14,9.220145701462111e-12,,,
232614_at,0.7769288042951291,0.5502323468048284,0.2266964574903007,6.818082308195491e-13,1.6260084240064642e-10,,,
232795_at,0.8296296578641671,0.6095116491933916,0.2201180086707754,3.8078637381401465e-18,2.3106540259005303e-14,,,
232925_at,0.5477381916408036,0.3368835449031078,0.2108546467376958,1.3745814997421255e-09,6.944497636023749e-08,,,
233044_at,0.5736267593300055,0.3674221407372281,0.2062046185927774,2.8298006021588422e-09,1.249344383877937e-07,,,
233180_at,0.5222577558467821,0.3117837241042088,0.2104740317425733,4.855379024329839e-10,3.051401779697647e-08,,,
233216_at,0.701739298066261,0.4995240619667844,0.2022152360994766,1.16644032891365e-09,6.113513021397425e-08,233216_at,ZDHHC21,"zinc finger, DHHC-type containing 21"
233265_at,0.6848551343407402,0.4846288596674522,0.2002262746732879,1.1292642304368255e-09,5.947204186773997e-08,,,
233700_at,0.6843866517395474,0.471776274126699,0.2126103776128484,5.48152661456523e-10,3.345946184329601e-08,,,
234086_at,0.5779761856441441,0.3551641405757962,0.2228120450683479,8.88321721487716e-12,1.2189425672263474e-09,,,
234163_at,0.8887336103700465,0.6834000009422926,0.2053336094277539,3.3049027730018206e-11,3.559973474200166e-09,234163_at,UBE3A,ubiquitin protein ligase E3A
234258_at,0.5769522996070904,0.3584893260111736,0.2184629735959167,2.6361015916785736e-10,1.8769936926511334e-08,,,
234563_at,0.6686226839711978,0.4023016304920248,0.266321053479173,5.957620625102532e-14,2.7066639578910638e-11,,,
235213_at,0.84987544407054,0.5610882461572391,0.288787197913301,2.6973954420182024e-19,4.910428575831336e-15,235213_at,ITPKB,inositol-trisphosphate 3-kinase B
235567_at,0.7981628681301699,0.5886960914457007,0.2094667766844692,1.9449000251244734e-10,1.475233681557262e-08,235567_at,RORA,RAR-related orphan receptor A
235743_at,0.706440735073079,0.5013852806417898,0.2050554544312892,1.0053010171977674e-08,3.572056242825092e-07,,,
235852_at,0.601454338171118,0.3987734209530738,0.2026809172180442,1.595612658481221e-08,5.246309097991266e-07,235852_at,STON2,stonin 2
236216_at,0.5804297808198787,0.3782540091720918,0.2021757716477868,3.9869376590588085e-09,1.6532925313149485e-07,,,
236338_at,0.8489437012368405,0.6059951102891002,0.2429485909477402,4.389653379460836e-14,2.1404655358258448e-11,,,
236439_at,0.8215188698777001,0.491455025367763,0.330063844509937,9.293781834509173e-20,3.920989445147109e-15,,,
236617_at,0.8332011547774462,0.5761073092701025,0.2570938455073437,7.211824395531306e-14,3.0531733776213274e-11,,,
236645_at,0.6095527284788783,0.3639786065689283,0.24557412190995,2.6386161165111543e-14,1.549491849150792e-11,236645_at,HBP1,HMG-box transcription factor 1
236934_at,0.7446361446459596,0.532036484194036,0.2125996604519235,7.466356938505883e-09,2.790966129244502e-07,,,
236949_at,0.8232263794509845,0.5921622527623067,0.2310641266886778,4.973781256170823e-12,7.873423644732091e-10,,,
237782_at,0.7503975907687872,0.4899607424182956,0.2604368483504916,5.468840922025145e-16,8.533423122130264e-13,,,
